199,39
238,36
254,37
267,36
283,36
309,37
320,35
199,50
211,48
309,49
200,62
255,60
320,60
100,127
116,127
127,126
157,128
172,127
200,128
228,125
239,126
268,126
283,127
351,127
367,128
393,127
432,124
446,124
460,125
474,123
527,124
585,123
650,122
677,121
694,122
88,138
115,140
129,140
144,139
155,140
171,139
183,140
212,138
229,139
283,139
349,138
366,138
377,138
420,136
475,136
500,136
512,134
543,136
594,137
621,136
638,135
117,151
129,151
171,153
228,151
240,151
283,151
293,151
366,151
445,148
474,151
528,148
650,147
691,144
706,144
46,176
129,174
142,175
200,175
210,175
268,173
282,173
298,173
323,172
339,172
350,171
367,173
419,171
485,169
502,169
530,170
543,170
568,170
584,170
639,170
651,169
695,171
718,171
734,169
776,169
35,188
61,188
100,186
117,185
185,187
256,186
269,186
311,183
377,182
391,183
431,183
485,183
556,181
568,180
583,181
677,179
705,179
758,178
774,180
89,197
100,197
144,199
156,198
200,196
211,197
322,194
366,195
405,194
419,196
498,192
511,193
527,192
584,194
637,191
695,193
784,188
33,222
117,221
129,219
44,233
59,231
70,234
126,233
101,245
116,246
88,269
116,268
127,268
155,266
172,268
185,267
239,265
256,265
311,265
406,262
448,263
511,262
530,262
585,262
639,261
651,260
693,259
100,281
199,277
213,275
228,276
241,278
257,278
312,276
339,276
377,274
392,274
407,275
431,275
459,274
502,275
513,273
529,274
569,273
597,272
639,274
667,272
679,271
694,274
721,272
733,270
114,290
170,291
199,290
211,290
258,290
268,288
311,289
351,287
378,287
395,287
406,285
447,285
529,287
540,286
596,287
653,282
667,284
680,283
695,286
45,315
61,314
101,315
143,312
200,313
296,311
311,309
351,311
405,310
447,309
513,305
530,304
585,307
650,306
670,306
708,307
734,307
760,307
802,304
814,305
30,327
59,324
70,324
88,325
100,327
117,325
128,323
145,325
183,325
200,324
229,324
285,322
312,321
325,321
339,320
353,322
366,319
376,318
395,321
432,321
539,317
557,317
597,319
652,319
723,317
733,317
752,317
762,317
815,317
60,338
143,335
213,337
239,336
313,333
405,332
447,332
460,331
528,329
585,331
670,332
681,332
707,329
725,332
736,332
786,327
803,326
